لری, فارسی
یاری جهسن  , یاری جستن
یاری جهسن  , یاری خواستن
یاری جهسن  , کمک خواستن
یاری رسندن  , یاری رساندن
یاری رسندن  , کمک رساندن
یاری دادن  , کمک کردن
یارم باز وابیدن  , ولگرد شدن
یارم باز بیدن  , ولگرد بودن
یارم باز بیدن  , بی قید و بند بودن
یارم بازه  , ولگرد است
یارم بازه  , بی قید و بند است
یاسی بیدن  , همیشه گرسنه بودن
یاسی بیدن  , بسیار گرسنه بودن
یاسی وابیدن  , بسیار گرسنه شدن
رهتم یاسیچ, یاسوج رفتم
و یاد رهتن  , از یاد رفتن
و یاد رهتن  , فراموش شدن
یاد داشتن  , به خاطر داشتن
یه یابو خرید  , یک اسب یا مادیان خرید
یادش وخیر  , یادش به خیر
ویادم ره  , از یادم رفت
ویادم ره  , فراموشم شد
او یاده خیری گُه  , آن که یادش به خیر باد گفت
نه ویاری و براری  , نه به یاری به برادری
یا سر دهس شهر نره یا و گفتی شهر و در نره, یا پیش شرع نرو یا از گفته­ی شرع بيرون نرو
ویساده بیدی  , ایستاده بودی
ای خدایا  یا بکش یا بگش, خدایا یا مرا بکش و یا از کارم مشکل گشایی کن
یا دنگ یا دجا  , یا می­کشمت یا باید نصف شود
یا رنگولی پست بو یا حرف خش قصت بو یا پیل پر کیست بو, یا لباس خوب و زیبا تنت باشد و خوش اندام باشی یا خوب سخن بگویی یا ثروتمند باشی
یا کور یا نا بلد  , کور و نا بلد مساوی است 
بچی نه من ره دی, بچه­ای را در راه دید
مهلی بدی  , خیلی بدی
مهلی بدی  , خیلی بد هستی
یه کلی خوبی  , خیلی خوبی
یه کلی خوبی  , بسیارخوب هستی
چه­قر پلشتی  , چه­قدر پلشتی
چه­قر پلشتی  , چه­قدر کثیف هستی
حونی خریدم  , خانه­ای خریدم
هی هی نفهمی نک , با تو هستم نادانی مکن
روزل سر چلتیک هی هی ای­کنه, روزها بر سر شالیزار  هی هی می­کند
هیهات که و دهسم ره , افسوس که از دستم رفت
هی هی چه زندی داشتم , افسوس چه زندگیی داشتم
شو سر گندم هی هی ای­کنه , شب بر سر کشت­زار هی هی می­کند
هیلمت ای­کاره که  , بگویی نگویی این کار را کرد
هیلمت ای­خواس وم برسه , نزدیک بود به من برسد
هیلمت ای­خواس وم برسه , بگویی نگویی داشت به من می­رسید
هی قیر کردن  , داد و فریاد کردن
آدم هیزی­یه  , آدم هیزی است
آدم هیزی­یه  , آدم چشم چرانی است
تیش هیزه  , چشمش هیز است
هیچ وخت کروزه چال چپش وانی بو  , هرگز بز گوش کوتاه سر و کله و پیشانی سفید چپش نمی­شود
هیچ من هیچ نی  , هیچ در هیچ نیست 
هیچی و کلهش نی پینه , با کلاهش هیچ چیزی را اندازه نمی­گیرد
هیچ وابیدن  , هیچ شدن
هیچ وابیدن  , نابود و نیست شدن
هیچ نداره  , هیچ ندارد
هیچ وخت دمبه دم بز ندیدم , هیچ وقت دنبه در بز ندیدم
هیچ وخت هیچی نبیدت , هیچ وقت تو را چیزی نبود
هیتاب وش کُه که بیا, به او فشار بیاور تا بیاید
هیتاب وش کُه که بیا, او را مجبور کن که بیاید
هیتش کُ تا کار کنه,  او را به کار کردن وادار کن
هیتش کُ تا کار کنه, او را مجبور کن که کار کند
هیتش کُ تا کار کنه, او را به زور به کار وادار کن
هیت کردن  , وادار کردن
هیت کردن  , مجبور کردن
هیت کردن  , فشار آوردن
یه­هیبتی داره  , یک هیبتی دارد
هیبت داشتن  , بزرگی داشتن
هیبام نشهس  , کنارم نشست
هیبام نشهس  , بغل دستم نشست
هیاهو وش کُ تا کار کنه, او را تشویق کن تا کار کند
هی گپ ای­­زنه, پیوسته  حرف می­زند
هی کار ای­کنه  , پیوسته کار می­کند
هی سی چه ای کاره ای کنی  , با تو ام چرا این کار را انجام می دهی 
هی کردن  , راندن و حرکت دادن
هی کردن  , صدا کردن
هی کردن  , مجبور کردن
هی وش کُ تا بیا  , . او را تشویق کن تا بیاید
هی وش کُ تا بیا  , او را مجبور کن تا بیاید
هی کمک که تا و دادش برسن, فریاد زد تا به دادش برسند
هی کمک که تا و دادش برسن, کمک خواست تا به دادش برسند
هوی هوی افتا ره و زیر , شگفتا که افتاد و رفت پايين
هوی هوی افتا ره و زیر , وای وای پایین افتاد
هوی هوی چه دیره, وای وای چه دور است
مه هووتم  , مگر هووی تو هستم
هوو وابیدن  , هوو شدن
افتا من هول و ولا, به هول و ولا افتاد
هول زدن  , شتاب کردن
هول زدن  , حرص ورزیدن
یه هوگونه رهیه  , راه بسیار دوری است
یه هوگونه رهیه  , مسافت دوری است
و هوگونه ردابی  , بسیار دور شد
و هوگونه ردابی  , از اندازه دور شد 
و هوگونه ردابی  , از اندازه گذشت
هوشابنگ وابو بوین کی ای­یا, گوش به زنگ باش ببین کی می­آید
هوشابنگ وابو بوین کی ای­یا, به هوش باش ببین او کی می­آید
هوشابنگ وابو بوین کی ای­یا, مراقب باش ببین او کی می آید 
هوشت و خت بو  , هوشت به خودت باشد
هوشت و خت بو  , حواست به خودت باشد
هوش و گوش نداره  , هوش و گوش ندارد
هوش و گوش نداره  , بی هوش است
هوش هر چی بو بهتر و هوش آدمی زاده, هوش هر چیزی باشد بهتر از هوش آدمی زاد است
هوشا کردن  , توجّه کردن
وهوش بردن  , از هوش بردن
وهوش بردن  , بی هوش کردن
و هوش اومدن  , به هوش آمد
و هوش بیدن  , به هوش بودن
و هوش بیدن  , هشیار بودن
و هوش رهتن  , از هوش رفتن
و هوش رهتن  , بی هوش شدن
دلش هوس ای­کنه  , دلش هوس می­کند
و هوس انداختن  , به هوس انداختن
ار هوسه هم یِه بسه, اگر هوس است هم این بس است
هورلی هورلی ای­بچه لخت وابی , وای وای این بچّه لخت شد
او من هوره جم وابیده , آب  در گودال جمع شده است
هوچی گری کردن  , بلوا راه انداختن
یه هوبردی من زمین درس وابیده, یک فرو رفتگی عمیقی در زمین ایجاد شده است
هواش اومدن  , آهسته آمدن
هواش رهتن  , یواش رفتن
و هوی دیدنش رهتم نبیدش, به هوای دیدنش رفتم او را نبود
و هوی دیدنش رهتم نبیدش, به آرزوی دیدنش رفتم او را نديدم
هواشه دارم  , هوای او را دارم
وش هوا داری ای­کنه,  از او هواداری می­کند
دلم هواش کرده  , دلم هوایش کرده است
هوی وابی  , پرت شد
هوی وابی  , سقوط کرد
هوی وابی  , سرازیر شد
هوی وابیدن, هوایی شدن
هوی دوش پمبه ای­زنم , به اندازه­ی دوغش پنبه می­زنم
هوا نه پس دی  , هوا را پس دید
هو وش کُ  , صدایش کن
هوا زشه  , : او را سرما زده است 
هوا زشه  , سرما خورده است
هوا اورییه  , هوا ابری است
هوا بارونه  , هوا بارانی است
هوا تنگه  , آسمان ابری است
من هوا زدش  , در آسمان آن را زد
من هوا زدش  , آن را فوری به دست آورد
و هوا بردن  , به طرف آسمان بردن
هوا دادن  , به طرف آسمان فرستادن
هوا خردن  , هوا خوردن
هو کردن , مسخره کردن
آدم هنگکی­یه  , آدم الکی خوشی است
هنر ای­کنه  , هنر می­کند
بی یه دهس دِ  هندونه ور داشتن, با یک دست دو هندوانه برداشتن
هندا کردن  , اندازه کردن
همین همینی وش کردن, دست جمعی به او حمله کردند
همیشه­نه گا میرونه , همیشه گاو میران نیست
همیشه دهسش سر ماشی تفنگه, همیشه دستش روی ماشه­ی تفنگ است
همیشه دهس بگرمش درازه اما دهس بده نداره , همیشه دست گرفتنش دراز است ولی دست دادن ندارد
همهمه کردن  , سر و  صدا کردن
همی صب اول دنیایه , همه­ی صبح­ها اول دنیا است
چه همش چه همه کش , چه همه­اش چه همه­کش
همه اومن  , همه آمدند
همه­نه ویه چو ای رونن, همه را با یک چوب می­رانند
هموار وابیدن  , هموار شدن
همار حرف ای­زنه  , آهسته حرف می­زند
ریش همساته که تراشتن ریش خته ترکُ, ریش همسایه ات را که تراشیدند ریش خودت را تر کن 
همار اومه  , آهسته آمد
هم وَ آخر ای خره هم و تربه , هم از آخور می خورد هم از توبر 
هم خدانه ای­خـو هم خرمانه,  هم خدا را می­خواهد هم خرما 
هم­ای­ره وونی حالوش هم کره­شه سوارو ای­کنه, هم خانه­ی دایی­اش می­رود و هم کره­ی اسبش را برای سواری تربیت می­کند
هم­یـه بو دَه نبو  , همین باشد و دیگر چیزی نباشد
ای دِ چو هم زونه  , این دو چوب مساوی هستند
خدا هم­راه خیرت بو, خدا هم­راه خیرت باشد
هله کو کردن  , محکم کسی را زدن
هلنگو سر مچشه  , النگو روی مچش است
هلنگو سر دهسشه , النگو روی مچش است
هل کویی کار کردن, زورکی کار کردن
هل ریز ای­کنه  , ریخت و پاش می­کند
هل ریز کردن  , ریخت و پاش می­کند
الهی هلاهل بخری , الهی زهر بخوری
هلاهل خردن  , زهر خوردن
هلاک وابیدن  , هلاک شدن
هلام نومده , هنوز نیامده است
هلا بی کاره  , هنوز بی کار است
سرشه هُل که, سرش بی مو کرد
هِلش  نها , او را هل داد
دهونش هله  , دهانش خالی است
صدی هق گریوش ای­یا , صدای هق هق گریه­اش می­آید
هقشه گره  , یقه­اش را گرفت
هقشه پره که  , یقه­اش را پاره کرد
هقیدم ای­زنه  , عقیده­ام می­زند
هقیده زدن  , عقیده داشتن
هقیده داشتن  , عقیده داشتن
ای هفه  , خفه می­شود
گوشته ای­هفنه  , گوشت را تفت می­دهد
هفت ­کنم باد ای برت, به تو فوت کنم باد تو را می­برد
کارش هشتی­یه  , کارش شلخته است
هشتی کار ای­کنه  , بی دقّت کار می­کند
هشتی شور کردن  , شلخته شوی کردن
هشت و چار وابیدن  , هشت و چهار شدن
هشت و پنج وابیدن, هشت و پنج شدن
هشار وش که اومه  , به او اشاره کرد آمد
هشار کردن  ,  اشاره کردن
هشتش گرو نهشه  , هشت او گرو نه اش است
ایمونش هشت چار وابی, ایمانش هشت و چهار شد
هشت و چار وابیدن  , هشت و چهار شدن
هسی بایم  دارم, هسته­ی بادام دارم
آدم هسخون داری­یه , آدم استخوان داری است
هسلش پیسهسه  , استخوان­هایش پوسیده است
هرنی هرنی گانه ای­یارم خره نی , وای بر من وای بر من گاو را می­آورم  خر را نیست
کارش هرلی هشویه, کارش بی نظم و ترتیب است.
بند هرکشه محکم کُ , بند و ابزار دور میخش را محکم کن
ای ماشی هره بتانی­یه, این ماشین بزرگ است
تا مال من ای­واره هره من ای­داره, . تا آبادی در این یورد است ارّه در این درخت است
وهره ای­چونه بور  , با ارّه این چوب را ببر
*هرگی خواسی بیو  , هر وقت خواستی بیا
هرگس ای­کاره مکُ, هرگز این کار را نکن
هرکه گوشه دوس داره گوش وارشه هم دوس داره, هرکس گوش را دوست دارد گوشواره­اش را هم دوست دارد
هرکه خواس خُل کنه من سر ای­ره و پی یه تل گپویی, هر کس خواست خاک بر سر خود بریزد پای یک تپه­ی بزرگ می­رود
هرکه سیر چی نخه حاجی وی بو, هرکسی سیر غذا نخورد حاجی می­شود
هرکه نه او ای¬بره یه نه خو ای¬بره, هرکس را آب می­برد این را خواب می­برد
هرکه و نون خش وابی بره بمیره , هرکس از نان خودش بریده شد برود بمیرد
احترام هر که دهس خشه ,  هرکس احترامش در دست خودش است
هرکه تش برکه دیدش من تیی خُش ای­ره  , هر کس آتش روشن کرد دودش در چشم خودش می­رود
هرکه خر ای­خُه بایت و فکر جوش بو , هر کس خر می­خواهد باید به فکر جوی آن باشد
هرکه و کرم نساخت خره وش ای­زنه, هرکه به کرم نساخت به تنش خوره می­زند
هر که نه مار ای­زنه منه بچ مار, هر کس را مار می­زند مرا بچه­ مار
هر که قهر که خشه بی بهر که,  هر که قهر کرد خودش را بی بهره کرد
هر که و فکر خویشه کوسه وَ فکر ریشه , هر که به فکر خویش است کوسه به فکر ریش است 
هرکه ساله ­پی مانه هم ای پایه, هر کسی سال را پایید ماه را هم می­پاید
هرکه­یی یادت وخیر , هر که هستی یادت بخیر باد
هرکه خویش منه هم وو پیش منه, هر کسی طرفدار من است پیش من عزیز است
هرکه بارش وبار خشه, هرکه بارش بر دوش خودش است
بی هرس و پرس اومه, بدون سؤال و پرسش آمد
آدم هرزی­یه  , آدم هرزه­ای است
او هرز ای­ره  , آب هرز می­رود
هردمون ای­یا ای­ره  , هر لحظه می­آید و می­رود
هردمون ای­یا ای­ره  , هردمون ای­یا ای­ره  
هردمون اومدن  , پیوسته آمدن
آدم هردمبیلی­یه  , آدم هردمبیلی است
آدم هردمبیلی­یه  , آدم بی نظمی است
هردمبیل کار ای­کنه, بی نظم  کار می­کند
هرچه لر ای­گُ و دل ای­گُ, هرچه لر می­گوید از صمیم دل می­گوید
هرچه وابی وابی  , هرچه شد، شد
هرچه لرشو بگُ روز عملش کنه مهلی حرفه  , . هرچه لر شب بگوید و روز عملش کند خیلی حرف است
هرچه سنگین­تر بی رنگین­تری, هرچه سنگین تر باشی رنگین تر هستی
هرچی شله گی گی کله, هرچه شل است مدفوع گاو دم بریده است
هرچه نه بتر وَت بگم, هر چه نه بدتر به تو بگویم
هرچن کار کردم مز وم ندان, اگرچه کارکردم ولی به من مزد ندادند
هرجه هرجه وابیدن, سوراخ سوراخ شدن
یه هرتی وش ره , به او تشر زد
مه شهره هرته , مگر شهر هرت است
و هربشت دهسش پشتم درد که, از شدّت ضربه­ی دستش پشتم درد کرد
تخم ای­گندم هرباشی­یه, تخم این گندم نامرغوب است
من هرار وره ای­ره, در میان سنگ­های رودخانه­ی خشک راه می­رود
هر جا سم خره تینی دزه , هر جا سم خراست چشم دزد هم است 
هر می یه جومه بو وش بیشتر پره کرده, حتی اگر یک پیراهن باشد از او بیشتر پاره کرده است
هر گلی بویی داره, هر گلی بویی دارد
هر شیری و بیشی خُش شهریاره, هر شیری در بیشه­ی خودش شهریار است
هر جا که آشه تازی فراشه, هر جا آش است تازی فراش است
هر سره زیری یه سره بالی داره, هر سرازیری یک سر بالایی دارد
هر خندی یه گریوی داره, هر خنده­ای یک گریه­ای دارد
یه هر دمس برنج وش بده,  به اندازه­ی دو مشت برنج به او بده
هر کری و کلبرش, هر پسری با ارّه­ی کوچکش
هر کوری پیش پی خشه بختر ای­بینه, هر آدم کوری جلوی پای خودش را بهتر می­بیند
هر دِ دهسم بهسه بو پام و پخو بو,  اگر هر دو دستم بسته و پایم در زنجیر باشد
هر وی اومی ای­ریم, هر وقت آمدی می­رویم
هر گی ای خی بیو , هر وقت می­خواهی بیا
هر گوری و هوی بند میخش ای­پهره, هر گوساله­ای به هوای بند و میخش می­پرد
هر گی ای خی بیو , هر وقت می­خواهی بیا
و هدف خش رسی  , به هدف خودش رسید
حونی که خشک خشکه پرش گی تیله مشکه  , خانه­ای که خشک خشک است پر از فضله­ی توله موش است
هختی اومدی خَوَرُم کُ , هر وقت آمدی مرا خبر کن
سر هچه من دهسمه, سر قفل طناب در دستم است
سرهچه و دهس بیدن , سر قفل طناب را در دست داشتن
من هچل افتادن  , در هچل افتادن
هجیم آوردن  , هجوم آوردن
آدم هتلی­یه  , آدم یک دنده­و نفهمی است
یه هپونی زه من سرش, با دو کف دست بر سرش کوبید
وهپونی زه من سرش,  با کف دو دست بر سرش کوبید
هپرون که گرهتش, حمله کرد و او را گرفت
من عالم هپروته  , در عالم هپروت است
رهته من هپروت  , در هپروت فرو رفته است
هپ هپ کردن  , هاپ هاپ کردن
هبه گاله کردن  , سر و صدا راه انداختن
هبه گاله کردن  , داد و فریاد کردن
هارت هورت کردن  , هارت و پورت کردن
مث سگ هاره  , مثل سگ هار است
هار وابیدن  , هار شدن
هاج واج بیدن  , هاج و واج بودن
ها ايزنيش, بله حتماً اورا می­زنی
ای کاره ای­کنی, این کار را می­کنی
ای زمین من سایه یه , این زمین در سایه است 
دهسش زخمه , دستش زخم است 
ویلون کردن  ,  سرگردان و آواره کردن
ویلون وابیدن  , سرگردان و آواره شدن
پارچی ویل خریده  , پارچه­ی ویل خریده است
من گوشش صدی ویزه ای­یا, در گوشش صدای ویز می­آید
ار ای ملک و روزگاره ویرونه دِ صد هزاره, اگر این ملک و روزگار است ویرانه دويست هزار است
جومه دهرهسه ویرش وپرویه , درز پیراهنش باز شده است حواسش به وصله است
و ویرش نی  , به یادش نیست
وی هاتون هاتون کارش درس وانی بو, حالا حالا کارش درست نمی­شود
وی هاتون هاتون کارش درس وانی بو, وی هاتون هاتون کارش درس وانی بو
وهی چه کار بدی کردی,  اَهه! چه کار بدی کردی
گانه وهه کُ تا بیا , گاو را صدا کن تا بیايد
گانه وهه کُ تا بیا , گانه وهه کُ تا بیا 
وهول جون ره هیبی دیوار, از ترس جان کنار دیوار رفت
وهوش رهته  , از هوش رفته است
آدم و هنگی­یه  , آدم شادی است
آدم و هنگی­یه  , آدم سرخوشی است
یه وهله ای کاره بکُ, یک بار این کار را بکن
وخت رهتن توشه وهگره, وقت رفتن توشه برداشت
گندمشه وهگره  , گندمش را جمع کرد
او همه جا نه وهگره, آب همه جا را فرا گرفت
او همه جا نه وهگره, آب همه جا را پر کرد
یه غاری وهگره  , یک سنگ بزرگی برداشت
یه غاری وهگره  , یه غاری وهگره  
ای بچنه وهگر که  , این بچه را پذیرفت
ناخشیش وهگرایه  , بیماری­اش واگیردار است
ناخشیش وهگرایه  , ناخشیش وهگرایه  
وهضیت نداره  , وضعیّت ندارد
وهضیت نداره  , موقعیّتی ندارد
ای­گا وهریقنا  , این گاو جفتک انداخت
ای­گا وهریقنا  , این گاو لگد انداخت
ای­گا وهریقنا  , وضع او خوب است
یه مدتی خوب ­بی دباره وهریچهس, مدّتی خوب بود دوباره بیمار شد
ماشی وهریچهس  , ماشین به هم ریخت
رادیونه وهریچنا  , رادیو را باز کرد
هونییلشونه وهریتنا , خانه­های ­آن­ها را غارت کرد
پر مرغله وهریتنا  , پر مرغ­ها را کند
درخته وهریتنا  , همه­ی میوه درخت را چید
ذرته وهریتنا , دانه­ی ذرت را چیدن
ریشش و هرس  , ریشش آزاد شد 
ریشش و هرس  , ریشش رها شد 
ریشم و هرس  , آزاد شدم 
درز تمبونش وهرهسه, درز تنبانش باز شده است
گندمون وهرهسه  , گندم­مان تمام شده است، 
تا منه دی وهرواهس  , تا مرا دید فرار کرد
ای­وهرواهه   , فرار می­کند
در گِنینه وهرند  , در گونی را باز کرد
درز لباسه وهرنا  , درز لباس را باز کرد.
پیل وی­رفه  , پول جمع می­کند
دامنشه ­شه وهرفت  , دامنش را جمع کرد
شِله­نه وهرفت  , آش را کشیدن
سر وهده حاضرابی, سر وعده حاضر شد
سر وهده حاضرابی, سر موعد مقرر حاضر شد
خدا هر که­نه دی دی هر که­نه نی وهدی روز قیامت وش دا , خدا هر کسی را دید، دید هر کسی را ندید وعده­ی روز قیامت به او می­دهد
وهده گرهتن  , وعده گرفتن
وهده نهادن  , وعده گذاشتن
وهدی سر خرمنی, وعده­ی سر خرمنی
گندمش وهدر داده وابی , گندمش به هدر داده شد
همی وختشه وهدر دا , همه­ی وقتش را به هدر داد
همی وختشه وهدر دا , همه­ی وقتش را تلف کرد
حرف بی وهج ای­زنه, حرف بی جهت می­زند
حرف بی وهج ای­زنه, سخن بی ربط می­گوید
حرف بی وهج ای­زنه, سخن بی ارزش می گوید 
وهیچ وهج ای­کاره نی­کنه , به هیچ وجه این کار را نمی­کند
وهیچ وهج ای­کاره نی­کنه , در هیچ حالتی این کار را انجام نمی­دهد
ووهه کُ تا گا ویسه , صدای گاو بزن تا بایستد
وو خدا نراضیم مالمو بار کنه , . به آن خدا قسم راضی نیستم آبادی ما بار کند
کی دیده دِتا تیه وَ یک تار وابون , کی دیده است دو تا چشم از هم جدا شوند
ونگه ونگ ای­کنه  , ونگه ونگ می­کند
ونگه ونگ ای­کنه  , مکرّر گریه سر می­دهد
من حونش و ناش اومه, در خانه­اش با او درگیر شد
من حونش و ناش اومه, در خانه­اش با او دعوا کرد
يه­کار وما بخترونه, این، کار از ما بهتران است
ولی ولمزو ای­کنه, به شتاب و یک نفس می­دود.
ولی ولمزو کردن ,  بسیار تند دویدن
رهتیم ولی کسینه نیدیم , رفتیم ولی کسی را ندیدیم
آدم ولنگاری یه , آدم ولنگاری است 
آدم ولنگاری یه , آدم بی بند و بار ی است
ولم زه من گوشش, محکم به گوشش زد
پیل ولمی ودهس آوُ, پول زیادی به دست آورد
رهته و ولات غریب , به ولایت غریب رفته است
ولا کردن  , گم کردن
ولا  وابیدن  , گم شدن
دِ ولا ای­کاره که  , دوبار این کار را کرد
دِ ولا ای­کاره که  , دومرتبه این کار را انجام داد
کچکشه ول هندایی انداخت, سنگش را بی خودی انداخت
کچکشه ول هندایی انداخت, سنگش را بی هدف انداخت
ولم کُ  , رهایم کن
ولم کُ  , تنهایم بگذار
ولو وابیدن  , ولگرد شدن
ولو دلویه  , سرگردان و ولگرد است
آدم ولی­یه  , آدم بی ادبی است
برنج زیادی وگیرش اومه, برنج بسیاری گیرش آمد
برنج زیادی وگیرش اومه, برنج زیادی به دست آورد
کار وگیرش اومه  , کار به دستش آمد
کار وگیرش اومه  , کار پیدا کرد
کار وگیرش اومه  , بچه به دنیا آورد
پاش وگیره  , . پایش محکم است
آدم وگیری­یه  , آدم مقاومی است
وگیر بیدن  , مقاوم بودن
وگیر بیدن  , گرفتار بودن
تیش وگاره ره  , چشمش گود شده است
وگاری خت او بزن , به نویت خود آبیاری کن
وگاری خت او بزن , سر نوبت خودت آبیاری کن
یه حونی­نه و گار کرده , یک خانه­ای را زیر نظر دارد
ای گندم و کم خوشه , این گندم در حال خوشه سازی است
پیلش و کفش ره  , پولش از کفش رفت
بی ککاش و غیظه  , با برادرش قهر است
جونش وغل اومه  , جانش به جوش آمد
او وغل اومه  , آب قل زد
وصلهت خوبی­یه  , وصلت خوبی است
وصلهت خوبی­یه  , پیوند شایسته­ای است
وصلهت کردن  , وصلت کردن
ای وصله وش نی­چسپه , این وصله به او نمی­چسبد
وصلاحنی ای­کاره بکُ, از روی دوستی و صفا این کار را بکن
وصل ای­گُ  , پیوسته سخن می­گوید
غذی وشتی­یه , غذای رقیقی است
وصل حرف ای­زنه  , پیوسته حرف می­زند
خُش وِش بی منه هم وِش که, خودش گیج بود مرا هم گیج کرد
وش وابیدن  , گیج شدن
سرش وشه , سرش گیج است
خدا وسیله سازه  , خدا وسیله ساز است
وک وسیله ای­خره  , وسایل می­خرد
ای زمینه وسی­یه  ,  این زمین وسیع است
ای گندمه وسهسه  , این گندم از بین رفته است
وسواسی­یه, وسواسی است
وقرد وسقش کار ای­کنه ,  به اندازه­ی وسعش کار می­کند
ای زمین وسعت داره  , این زمین وسعت دارد
غذا و سر ره  , غذا سر رفت
وژدان داشتن  , وجدان داشتن
وزهشت غذی خره, با میل و رغبت غذا می­خورد
و زهشت حرف زدن,  با میل و رغبت حرف زدن
وزهر صدا کردن  , بلند صدا کردن
وزهر حرف ای­زنه  , بلند حرف می­زند
و زون گذشته بایت یه کاری بکنی , از آن گذشته باید کاری بکنی
وز ورش ای­کنه  , آن را از بر می­کند
آدم وزنی­یه  , آدم وزنه­ای است
ای دیوار وریس نشین داره , این دیوار بالا و پایین دارد
ای زمین وریس نشین داره  , این زمین بلندی و پستی دارد
یه ماری دیدم مث یه وریسی بی, یک ماری دیدم به بلندی طناب طولانی  بود
وریسه و کمرت بوند بره دومن که , طناب را به کمرت ببند و به پايين کوه برو
پیره مرد و وری رهته , پیرمرد از هوش رفته
و ره مهمون روتو کی­یه, به راه مهمان رونده­تان کيست
بی وره بی وری ای­کنه,  بسیار بی سلیقگی می­کند
یه وره زن سی مو نمنده, یک صدا کننده برای ما نمانده است
وش وری­یا  ,  از او بر می­آید
پاش ورومده  , پایش ورم کرده است
و ورودی که رسیدی خَوَر بده, به محضی که رسیدی خبر بده
ورن حرف ای­زنه  , پی در پی حرف می­زند
گچه و دیوار ورمالی , گچ را به دیوار مالاند
و ای چو ورمالش  , با این چوب او را بمال
ای گچ ورماسهس  , این گچ سفت شد
و سر کار ورگشت  , از سر کار برگشت
ای برش سر او تشنه و پر گردنش , او را بر سز آب می برد و تشنه بر می گرداند
پیلینه که قرض کرده بی ورگردنا, پولی را که قرض کرده بود برگرداند
او کترینه ورگردنا , آب کتری را برگرداند
ای میخ و زمین ورکهس,  این میخ از زمین کنده شد
وش ورکو ای­زنه  , به او تنه می­زند
یه کنجری وم ورکنا, یک نیشگونی از من گرفت
زمینه ورکنا  , زمین را کند
بدنشه ورکلگنا , بدنش را خاراند
بدنشه ای ویرکلگنه , بدنش را می­خاراند
تنگ بارَه ورکشی  , تنگ بار را محکم کرد
پاشنی ملکیشه ورکشی  , پاشنه­ی گیوه خود را بالا کشید
صداشه ورکشی  , صدایش را بلند کرد
پیللشه ورکش که  , پول هایش را بالا کشید
لباسش ورکروهس,  لباسش چروکیده شد
گایل و رقات ای­رون,  گاوها به ردیف می­روند
مردم و رقات ویسادن , مردم به ردیف ایستادند
یه چی من دهسش بی ورفنگناش , یک چیزی در دستش بود آن را ناگهان ربود
یه خَوَری وش دام ورفکهس , یک خبری به او دادم ناگهان ترسید
من خو صداش کردم ورفکهس, در خواب او را صدا کردم
پیله من دهسش ورفکنا, پول را از دستش ربود
و خو ای­ورفراهه  , : از خواب می­پرد
و خو ورفراهس  , از خواب ناگهان پرید
من خهک ای­ور غلته , در خاک می­غلتد
من خین خش ورغلتهس , در خون خودش غلتید
و یه پا ویرشهله  , با یک پا می­لنگد
ای پارچه ورشهرهس,  این پارچه پاره پاره شد
زخم پاش ورشروهس , زخم پای او له شد
پارچنه ورشرنا  , پارچه را تکه تکه کرد
زمین ورشخهس  , زمین زیر و رو شد
گله ورشخهس  , گله از هم پاشید
دومن شلوارشه ورزرنا , ، پایین شلوارش را تا زد
تیشه ورزرنا  , چشمش را برگرداند
من ره ورزناش  , در راه او یا آن را برگرداند
ورزش ای­کنه, ورزش می­کند
یه زری و ورسینش وَم بده , یک کمی از  سینه­اش  را به من بده
تیش ورزهرهس منه دی, چشمش چرخید و مرا دید
مِنَه دی ورزهرهس, مرا دید پیچید
ورزانه نها و کار  , گاو نر را به کار گرفت
ای بچه وردهس اسا کار ای­کنه, این بچه کنار دست استاد کار می­کند
او وردنگنا زه من ریش, آب فواره زد و به صورت او پاشید
یه بردینه و طرفش وردا , یک سنگی را به طرف او پرت کرد
لویش ویردکه  , لب هایش می لزد 
لویلش ای ور­دکنه  , لب­هایش می­لرزاند
زونیش ویردکنه  , زانویش می­لرزاند
وش وردک زه  , به او تنه زد
وردک وش ای­زنه  , تنه به او می­زند
گرگ وردردش  , گرگ آن را درید
ای چونه و زمین ورداشت , این چوب را از زمین برداشت
ار بری سر ورد دونی کی مال بار کرده  , اگر سر یورد بروی می­دانی که آبادی کی بار کرده است
من ره وش ور خرد که , در راه به او برخورد کرد
دونل نخوده وری خالین ورچی , دانه­های نخود را از روی قالی جمع کرد
بند بهونشه ورچینا, ریسمان چادر سیاهش را بافت
دونل گندمه و زمین ورچینا , دانه­های گندم را از روی زمین جمع کرد
یه کهلو ورچی  , یک سبدی بافت
یه جاکتی سیش ورچی, برای او یک ژاکت بافت
مل بزه ورچی , موی بز را قیچی کرد
سرشه ورچی  , موی سرش را قیچی کرد
دومن ای­پارچه ورچوگهس , پایین این پارچه برگردانده شد
دومن شلوارشه ورچوگنا , پایین شلوارش را برگرداند
شلوارش ویرچاکه  , شلوارش شکاف می­خورد
دیوار ورچاکهس  , دیوار شکاف خورد
آدم ورجهسی­یه  , آدم برجسته­ای است
وش زورگُه وُ هم ورجمنا خواس بزنش ,  به او زور گفت او هم به خود تکانی داد و خواست که او را بزند
حرف حقی نه وش زدم ورتورنا , حرف حقی به او گفتم عصبانی شد
من میدون ای­ورتنگه , در میدان می­پرد
من میدون ویرتنگه ,  در میدان می­پرد
بی گله بدنشه ورتشکنا, با گلوله بدنش را پاره پاره کرد
